TrialID,Animal_ID,Mass_kg,SS_dur_min,SS_lap_dur_min,SS_laps_num,TDT_m,Speed_m_s,Fig_6A_y,Fig_6B_y,Fig_6C_y
Trial18_02,9ON6,190,2.871875,2.203875,5,390.1834881,2.950738193,2.459442186,2.891118148,1.086136765
Trial18_05,6JK5,210,1.793416667,1.309083333,3,217.9663191,2.775050215,1.990070828,2.495674773,0.982452575
Trial18_23,83H1,141,2.714916667,1.662083333,4,248.1442405,2.488285189,2.767577077,3.653082985,1.816783928
Trial18_24,83H1,141,2.460583333,1.629083333,4,299.1648135,3.060666157,5.500611413,7.609094538,2.714499597
Trial18_25,9FL3,243,2.121666667,0.958625,3,239.8741004,4.170454217,5.045419103,10.15843143,2.677578991
Trial18_28,9ON6,190,2.955166667,2.077,5,425.9102606,3.417671807,5.270918314,7.061781118,2.194327333
Trial18_29,01L5,149,3.194291667,2.475041667,4,264.7693486,1.78292856,1.843892213,2.109990811,1.334730677
Trial18_34,83H1,141,1.502,1.080583333,3,219.4365978,3.384539181,4.728045821,6.037786664,1.941752167
Trial19_01,9FL3,247,2.876916667,1.339583333,4,281.0060252,3.496186939,4.612459617,8.95205783,2.833319023
Trial19_02,83H1,146,3.091458333,1.742333333,5,307.1436914,2.938049468,3.691099444,5.488646398,2.229096111
Trial19_10,9FL3,247,3.20875,1.370958333,4,313.1318034,3.806726479,4.768002474,10.04552119,2.931544054
Trial19_11,83H1,146,2.883625,1.447833333,4,254.7443804,2.93247819,3.88933616,6.388066389,2.641562566
RMR,9ON6,N/A,N/A,N/A,N/A,N/A,N/A,1.035250777,1.035250777,N/A
RMR,6JK5,N/A,N/A,N/A,N/A,N/A,N/A,0.623496092,0.623496092,N/A
RMR,83H1,N/A,N/A,N/A,N/A,N/A,N/A,1.369649634,1.369649634,N/A
RMR,9FL3,N/A,N/A,N/A,N/A,N/A,N/A,0.831071864,0.831071864,N/A
RMR,01L5,N/A,N/A,N/A,N/A,N/A,N/A,0.928209047,0.928209047,N/A